GO_t term CLIN_Pr NOCLIN_Pr CLIN_Abs NOCLIN_Abs
GO 4590 45 97 0 0
GO 4591 45 96 0 1
GO 4592 45 97 0 0
GO 4594 45 97 0 0
GO 4595 44 97 1 0
GO 4596 44 97 1 0
GO 4601 45 97 0 0
GO 4604 45 96 0 1
GO 4605 44 97 1 0
GO 4609 44 97 1 0
GO 4611 45 96 0 1
GO 4612 45 94 0 3
GO 4614 45 97 0 0
GO 4615 45 96 0 1
GO 4617 45 97 0 0
GO 4618 45 97 0 0
GO 4619 45 97 0 0
GO 4620 45 97 0 0
GO 4622 45 97 0 0
GO 4632 45 97 0 0
GO 4633 45 97 0 0
GO 4634 45 97 0 0
GO 4635 45 97 0 0
GO 4636 45 97 0 0
GO 4637 45 96 0 1
GO 4638 45 82 0 15
GO 4639 45 95 0 2
GO 4640 45 96 0 1
GO 4641 45 97 0 0
GO 4642 45 97 0 0
GO 4643 45 97 0 0
GO 4644 45 97 0 0
GO 4645 45 97 0 0
GO 4647 45 97 0 0
GO 4648 45 97 0 0
GO 4652 44 97 1 0
GO 4654 45 97 0 0
GO 4655 45 45 0 52
GO 4659 45 97 0 0
GO 4664 44 96 1 1
GO 4672 45 97 0 0
GO 4673 45 97 0 0
GO 4674 45 97 0 0
GO 4713 2 7 43 90
GO 4719 45 97 0 0
GO 4721 45 97 0 0
GO 4722 1 0 44 97
GO 4725 2 5 43 92
GO 4729 45 97 0 0
GO 4730 22 26 23 71
GO 4731 45 97 0 0
GO 4733 45 96 0 1
GO 4735 45 97 0 0
GO 4738 45 96 0 1
GO 4742 45 80 0 17
GO 4743 45 97 0 0
GO 4746 45 96 0 1
GO 4747 45 74 0 23
GO 4748 45 97 0 0
GO 4749 44 97 1 0
GO 4750 45 96 0 1
GO 4751 45 97 0 0
GO 4756 45 92 0 5
GO 4764 45 97 0 0
GO 4765 45 97 0 0
GO 4766 22 16 23 81
GO 4774 45 97 0 0
GO 4775 45 97 0 0
GO 4779 45 66 0 31
GO 4781 45 66 0 31
GO 4783 45 97 0 0
GO 4784 45 96 0 1
GO 4787 44 93 1 4
GO 4791 45 97 0 0
GO 4792 45 97 0 0
GO 4793 45 96 0 1
GO 4794 45 96 0 1
GO 4795 45 96 0 1
GO 4797 45 97 0 0
GO 4798 45 96 0 1
GO 4799 45 97 0 0
GO 4801 45 97 0 0
GO 4802 22 6 23 91
GO 4803 10 10 35 87
GO 4805 0 1 45 96
GO 4806 0 19 45 78
GO 4807 45 97 0 0
GO 4808 45 97 0 0
GO 4810 43 97 2 0
GO 4812 45 97 0 0
GO 4813 45 97 0 0
GO 4814 44 97 1 0
GO 4815 45 97 0 0
GO 4816 45 97 0 0
GO 4817 45 97 0 0
GO 4818 45 96 0 1
GO 4819 45 97 0 0
GO 4820 45 96 0 1
GO 4821 44 97 1 0
GO 4822 45 97 0 0
GO 4823 45 97 0 0
GO 4825 45 97 0 0
GO 4826 45 95 0 2
GO 4827 45 96 0 1
GO 4828 45 97 0 0
GO 4829 45 97 0 0
GO 4830 44 96 1 1
GO 4831 45 97 0 0
GO 4832 45 97 0 0
GO 4833 22 17 23 80
GO 4834 45 97 0 0
GO 4838 45 96 0 1
GO 4842 0 3 45 94
GO 4844 44 97 1 0
GO 4845 45 96 0 1
GO 4849 45 97 0 0
GO 4850 45 97 0 0
GO 4852 45 97 0 0
GO 4853 45 95 0 2
GO 4854 0 7 45 90
GO 4856 0 9 45 88
GO 4857 45 97 0 0
GO 4866 45 91 0 6
GO 4867 45 91 0 6
GO 5048 45 94 0 3
GO 5085 45 97 0 0
GO 5096 45 97 0 0
GO 5102 0 1 45 96
GO 5126 0 1 45 96
GO 5160 0 1 45 96
GO 5179 0 1 45 96
GO 5198 45 97 0 0
GO 5215 45 97 0 0
GO 5216 45 97 0 0
GO 5261 45 97 0 0
GO 5262 16 61 29 36
GO 5267 45 97 0 0
GO 5275 1 28 44 69
GO 5283 45 96 0 1
GO 5294 45 91 0 6
GO 5295 45 96 0 1
GO 5300 43 97 2 0
GO 5302 0 6 45 91
GO 5304 0 1 45 96
GO 5310 45 96 0 1
GO 5315 45 97 0 0
GO 5319 45 97 0 0
GO 5326 45 63 0 34
GO 5337 45 97 0 0
GO 5342 45 97 0 0
GO 5343 45 96 0 1
GO 5345 0 13 45 84
GO 5350 45 94 0 3
GO 5351 0 5 45 92
GO 5372 40 50 5 47
GO 5375 3 0 42 97
GO 5381 45 97 0 0
GO 5384 0 3 45 94
GO 5385 45 97 0 0
GO 5402 1 27 44 70
GO 5416 45 96 0 1
GO 5451 45 97 0 0
GO 5452 0 1 45 96
GO 5469 23 80 22 17
GO 5488 45 97 0 0
GO 5504 45 97 0 0
GO 5506 45 97 0 0
GO 5507 45 97 0 0
GO 5509 45 96 0 1
GO 5515 45 97 0 0
GO 5524 45 97 0 0
GO 5525 45 97 0 0
GO 5527 45 97 0 0
GO 5528 45 97 0 0
GO 5534 19 12 26 85
GO 5539 43 97 2 0
GO 5542 45 97 0 0
GO 5543 45 97 0 0
GO 5545 0 1 45 96
GO 5575 45 97 0 0
GO 5576 45 97 0 0
GO 5615 30 14 15 83
GO 5618 45 97 0 0
GO 5622 45 97 0 0
GO 5623 45 97 0 0
GO 5628 0 2 45 95
GO 5634 45 97 0 0
GO 5654 1 1 44 96
GO 5655 44 96 1 1
GO 5657 45 97 0 0
GO 5658 45 96 0 1
GO 5694 45 97 0 0
GO 5730 44 96 1 1
GO 5737 45 97 0 0
GO 5739 2 3 43 94
GO 5740 1 2 44 95
GO 5743 1 2 44 95
GO 5746 1 2 44 95
GO 5747 0 1 45 96
GO 5750 1 1 44 96
GO 5751 1 2 44 95
GO 5753 1 1 44 96
GO 5759 1 1 44 96
GO 5761 0 1 45 96
GO 5762 0 1 45 96
GO 5768 2 1 43 96
GO 5769 0 1 45 96
GO 5770 2 0 43 97
GO 5773 0 1 45 96
GO 5794 2 1 43 96
GO 5802 2 1 43 96
GO 5829 45 97 0 0
GO 5840 45 97 0 0
GO 5844 45 94 0 3
GO 5856 45 97 0 0
GO 5886 45 97 0 0
GO 5887 45 97 0 0
GO 5929 1 0 44 97
GO 5933 0 2 45 95
GO 5935 0 2 45 95
GO 5948 45 96 0 1
GO 5950 45 97 0 0
GO 5951 45 97 0 0
GO 5960 45 97 0 0
GO 5971 45 97 0 0
GO 5975 45 97 0 0
GO 5976 45 97 0 0
