"","G","Gene","MC","WTC","MD","WTD","Fisher.p","phi","OR1","OR2"
"38","GO",179,22,97,0,0,1,NA,"NaN",NA
"39","GO",217,22,97,0,0,1,NA,"NaN",NA
"40","GO",228,22,96,0,1,1,-0.044,"0.000",Inf
"41","GO",229,22,96,0,1,1,-0.044,"0.000",Inf
"42","GO",255,0,3,22,94,1,0.077,"Inf",0
"43","GO",256,0,3,22,94,1,0.077,"Inf",0
"44","GO",270,22,97,0,0,1,NA,"NaN",NA
"45","GO",271,22,97,0,0,1,NA,"NaN",NA
"46","GO",272,0,30,22,67,0.000951,0.276,"Inf",0
"47","GO",276,0,1,22,96,1,0.044,"Inf",0
"48","GO",278,22,97,0,0,1,NA,"NaN",NA
"49","GO",281,22,97,0,0,1,NA,"NaN",NA
"50","GO",287,22,97,0,0,1,NA,"NaN",NA
"51","GO",302,22,97,0,0,1,NA,"NaN",NA
"52","GO",303,22,97,0,0,1,NA,"NaN",NA
"53","GO",305,22,97,0,0,1,NA,"NaN",NA
"54","GO",309,22,97,0,0,1,NA,"NaN",NA
"55","GO",310,0,5,22,92,0.583,0.1,"Inf",0
"56","GO",313,0,1,22,96,1,0.044,"Inf",0
"57","GO",315,0,1,22,96,1,0.044,"Inf",0
"58","GO",372,21,94,1,3,0.564,0.031,"1.490",0.67
"59","GO",375,21,94,1,3,0.564,0.031,"1.490",0.67
"60","GO",376,21,94,1,3,0.564,0.031,"1.490",0.67
"61","GO",400,22,97,0,0,1,NA,"NaN",NA
"62","GO",405,0,2,22,95,1,0.062,"Inf",0
"63","GO",408,22,97,0,0,1,NA,"NaN",NA
"64","GO",413,22,97,0,0,1,NA,"NaN",NA
"65","GO",428,22,96,0,1,1,-0.044,"0.000",Inf
"66","GO",451,22,97,0,0,1,NA,"NaN",NA
"67","GO",453,22,97,0,0,1,NA,"NaN",NA
"68","GO",455,22,97,0,0,1,NA,"NaN",NA
"69","GO",462,22,97,0,0,1,NA,"NaN",NA
"70","GO",469,22,96,0,1,1,-0.044,"0.000",Inf
"71","GO",470,22,93,0,4,1,-0.089,"0.000",Inf
"72","GO",478,22,96,0,1,1,-0.044,"0.000",Inf
"73","GO",502,22,97,0,0,1,NA,"NaN",NA
"74","GO",702,22,97,0,0,1,NA,"NaN",NA
"75","GO",703,22,97,0,0,1,NA,"NaN",NA
"76","GO",715,22,97,0,0,1,NA,"NaN",NA
"77","GO",716,22,97,0,0,1,NA,"NaN",NA
"78","GO",724,22,97,0,0,1,NA,"NaN",NA
"79","GO",725,22,97,0,0,1,NA,"NaN",NA
"80","GO",726,0,35,22,62,0.000214,0.307,"Inf",0
"81","GO",731,22,97,0,0,1,NA,"NaN",NA
"82","GO",738,22,97,0,0,1,NA,"NaN",NA
"83","GO",746,0,7,22,90,0.346,0.119,"Inf",0
"84","GO",774,22,95,0,2,1,-0.062,"0.000",Inf
"85","GO",785,22,96,0,1,1,-0.044,"0.000",Inf
"86","GO",786,22,96,0,1,1,-0.044,"0.000",Inf
"87","GO",787,22,96,0,1,1,-0.044,"0.000",Inf
"88","GO",789,22,96,0,1,1,-0.044,"0.000",Inf
"89","GO",793,1,0,21,97,0.185,-0.193,"0.000",Inf
"90","GO",796,1,0,21,97,0.185,-0.193,"0.000",Inf
"91","GO",819,22,97,0,0,1,NA,"NaN",NA
"92","GO",820,22,97,0,0,1,NA,"NaN",NA
"93","GO",821,22,97,0,0,1,NA,"NaN",NA
"94","GO",822,0,1,22,96,1,0.044,"Inf",0
"95","GO",900,22,97,0,0,1,NA,"NaN",NA
"96","GO",902,1,2,21,95,0.462,-0.062,"0.442",2.26
"97","GO",904,0,1,22,96,1,0.044,"Inf",0
"98","GO",906,22,97,0,0,1,NA,"NaN",NA
"99","GO",910,22,97,0,0,1,NA,"NaN",NA
"100","GO",917,22,97,0,0,1,NA,"NaN",NA
"101","GO",918,22,97,0,0,1,NA,"NaN",NA
"102","GO",920,22,97,0,0,1,NA,"NaN",NA
"103","GO",935,0,1,22,96,1,0.044,"Inf",0
"104","GO",966,22,97,0,0,1,NA,"NaN",NA
"105","GO",967,22,97,0,0,1,NA,"NaN",NA
"106","GO",976,22,97,0,0,1,NA,"NaN",NA
"107","GO",984,22,97,0,0,1,NA,"NaN",NA
"108","GO",985,22,96,0,1,1,-0.044,"0.000",Inf
"109","GO",986,22,97,0,0,1,NA,"NaN",NA
"110","GO",987,22,97,0,0,1,NA,"NaN",NA
"111","GO",988,22,97,0,0,1,NA,"NaN",NA
"112","GO",989,22,97,0,0,1,NA,"NaN",NA
"113","GO",990,22,97,0,0,1,NA,"NaN",NA
"114","GO",1000,22,97,0,0,1,NA,"NaN",NA
"115","GO",1017,22,97,0,0,1,NA,"NaN",NA
"116","GO",1046,22,96,0,1,1,-0.044,"0.000",Inf
"117","GO",1047,22,96,0,1,1,-0.044,"0.000",Inf
"118","GO",1067,22,97,0,0,1,NA,"NaN",NA
"119","GO",1072,22,92,0,5,0.583,-0.1,"0.000",Inf
"120","GO",1073,22,97,0,0,1,NA,"NaN",NA
"121","GO",1098,22,97,0,0,1,NA,"NaN",NA
"122","GO",1101,22,97,0,0,1,NA,"NaN",NA
"123","GO",1108,22,97,0,0,1,NA,"NaN",NA
"124","GO",1121,22,97,0,0,1,NA,"NaN",NA
"125","GO",1123,22,96,0,1,1,-0.044,"0.000",Inf
"126","GO",1124,22,89,0,8,0.349,-0.128,"0.000",Inf
"127","GO",1125,22,97,0,0,1,NA,"NaN",NA
"128","GO",1130,22,97,0,0,1,NA,"NaN",NA
"129","GO",1131,22,97,0,0,1,NA,"NaN",NA
"130","GO",1140,22,97,0,0,1,NA,"NaN",NA
"131","GO",1141,22,97,0,0,1,NA,"NaN",NA
"132","GO",1150,20,56,2,41,0.00294,-0.268,"0.137",7.32
"133","GO",1151,20,55,2,42,0.00274,-0.275,"0.131",7.64
"134","GO",1158,20,56,2,41,0.00294,-0.268,"0.137",7.32
"135","GO",1199,22,59,0,38,8.77e-05,-0.326,"0.000",Inf
"136","GO",1204,22,59,0,38,8.77e-05,-0.326,"0.000",Inf
"137","GO",1216,22,97,0,0,1,NA,"NaN",NA
"138","GO",1217,22,97,0,0,1,NA,"NaN",NA
"139","GO",1505,22,97,0,0,1,NA,"NaN",NA
"140","GO",1510,22,97,0,0,1,NA,"NaN",NA
"141","GO",1514,13,29,9,68,0.0135,-0.237,"0.295",3.39
"142","GO",1522,22,97,0,0,1,NA,"NaN",NA
"143","GO",1530,22,97,0,0,1,NA,"NaN",NA
"144","GO",1539,22,97,0,0,1,NA,"NaN",NA
"145","GO",1541,0,1,22,96,1,0.044,"Inf",0
"146","GO",1546,0,1,22,96,1,0.044,"Inf",0
"147","GO",1558,22,97,0,0,1,NA,"NaN",NA
"148","GO",1562,0,1,22,96,1,0.044,"Inf",0
"149","GO",1573,0,1,22,96,1,0.044,"Inf",0
"150","GO",1655,0,1,22,96,1,0.044,"Inf",0
"151","GO",1666,0,1,22,96,1,0.044,"Inf",0
"152","GO",1680,21,97,1,0,0.185,0.193,"Inf",0
"153","GO",1682,21,96,1,1,0.337,0.106,"4.570",0.219
"154","GO",1716,22,97,0,0,1,NA,"NaN",NA
"155","GO",1727,0,31,22,66,0.000854,0.283,"Inf",0
"156","GO",1731,22,97,0,0,1,NA,"NaN",NA
"157","GO",1750,0,0,22,97,1,NA,"NaN",NA
"158","GO",1775,0,1,22,96,1,0.044,"Inf",0
"159","GO",1817,0,1,22,96,1,0.044,"Inf",0
"160","GO",1818,0,1,22,96,1,0.044,"Inf",0
"161","GO",1819,0,1,22,96,1,0.044,"Inf",0
"162","GO",1871,0,1,22,96,1,0.044,"Inf",0
"163","GO",1880,0,1,22,96,1,0.044,"Inf",0
"164","GO",1882,22,97,0,0,1,NA,"NaN",NA
"165","GO",1883,22,97,0,0,1,NA,"NaN",NA
"166","GO",1884,22,97,0,0,1,NA,"NaN",NA
"167","GO",1887,22,97,0,0,1,NA,"NaN",NA
"168","GO",1896,22,97,0,0,1,NA,"NaN",NA
"169","GO",1897,22,96,0,1,1,-0.044,"0.000",Inf
"170","GO",1906,22,97,0,0,1,NA,"NaN",NA
"171","GO",1907,22,97,0,0,1,NA,"NaN",NA
"172","GO",1917,0,0,22,97,1,NA,"NaN",NA
"173","GO",1932,22,97,0,0,1,NA,"NaN",NA
"174","GO",1934,22,97,0,0,1,NA,"NaN",NA
"175","GO",1968,0,9,22,88,0.207,0.136,"Inf",0
"176","GO",2020,22,96,0,1,1,-0.044,"0.000",Inf
"177","GO",2054,0,6,22,91,0.591,0.11,"Inf",0
"178","GO",2057,0,6,22,91,0.591,0.11,"Inf",0
"179","GO",2060,0,6,22,91,0.591,0.11,"Inf",0
"180","GO",2064,0,1,22,96,1,0.044,"Inf",0
"181","GO",2094,22,97,0,0,1,NA,"NaN",NA
"182","GO",2097,22,97,0,0,1,NA,"NaN",NA
"183","GO",2098,22,97,0,0,1,NA,"NaN",NA
"184","GO",2099,22,97,0,0,1,NA,"NaN",NA
"185","GO",2100,21,97,1,0,0.185,0.193,"Inf",0
"186","GO",2101,22,97,0,0,1,NA,"NaN",NA
"187","GO",2128,22,97,0,0,1,NA,"NaN",NA
"188","GO",2130,22,96,0,1,1,-0.044,"0.000",Inf
"189","GO",2131,22,96,0,1,1,-0.044,"0.000",Inf
"190","GO",2132,22,96,0,1,1,-0.044,"0.000",Inf
"191","GO",2134,22,97,0,0,1,NA,"NaN",NA
"192","GO",2136,22,97,0,0,1,NA,"NaN",NA
"193","GO",2143,22,97,0,0,1,NA,"NaN",NA
"194","GO",2161,22,97,0,0,1,NA,"NaN",NA
"195","GO",2181,22,97,0,0,1,NA,"NaN",NA
"196","GO",2183,22,97,0,0,1,NA,"NaN",NA
"197","GO",2184,21,97,1,0,0.185,0.193,"Inf",0
"198","GO",2188,22,96,0,1,1,-0.044,"0.000",Inf
"199","GO",2190,22,96,0,1,1,-0.044,"0.000",Inf
"200","GO",2192,22,96,0,1,1,-0.044,"0.000",Inf
"201","GO",2196,22,97,0,0,1,NA,"NaN",NA
"202","GO",2225,0,1,22,96,1,0.044,"Inf",0
"203","GO",2237,0,1,22,96,1,0.044,"Inf",0
"204","GO",2250,0,1,22,96,1,0.044,"Inf",0
"205","GO",2252,22,96,0,1,1,-0.044,"0.000",Inf
"206","GO",2263,0,1,22,96,1,0.044,"Inf",0
"207","GO",2266,0,1,22,96,1,0.044,"Inf",0
"208","GO",2268,0,1,22,96,1,0.044,"Inf",0
"209","GO",2285,0,1,22,96,1,0.044,"Inf",0
"210","GO",2286,0,1,22,96,1,0.044,"Inf",0
"211","GO",2287,0,1,22,96,1,0.044,"Inf",0
"212","GO",2292,0,1,22,96,1,0.044,"Inf",0
"213","GO",2293,0,1,22,96,1,0.044,"Inf",0
"214","GO",2294,0,1,22,96,1,0.044,"Inf",0
"215","GO",2312,0,1,22,96,1,0.044,"Inf",0
"216","GO",2313,0,1,22,96,1,0.044,"Inf",0
"217","GO",2315,0,1,22,96,1,0.044,"Inf",0
"218","GO",2335,0,1,22,96,1,0.044,"Inf",0
"219","GO",2366,0,1,22,96,1,0.044,"Inf",0
"220","GO",2376,22,96,0,1,1,-0.044,"0.000",Inf
"221","GO",2443,0,1,22,96,1,0.044,"Inf",0
"222","GO",2449,0,1,22,96,1,0.044,"Inf",0
"223","GO",2455,0,1,22,96,1,0.044,"Inf",0
"224","GO",2460,0,1,22,96,1,0.044,"Inf",0
"225","GO",2467,0,1,22,96,1,0.044,"Inf",0
"226","GO",2520,0,1,22,96,1,0.044,"Inf",0
"227","GO",2521,0,1,22,96,1,0.044,"Inf",0
"228","GO",2682,0,1,22,96,1,0.044,"Inf",0
"229","GO",2684,0,1,22,96,1,0.044,"Inf",0
"230","GO",2697,0,1,22,96,1,0.044,"Inf",0
"231","GO",2699,0,1,22,96,1,0.044,"Inf",0
"232","GO",2700,0,1,22,96,1,0.044,"Inf",0
"233","GO",2702,0,1,22,96,1,0.044,"Inf",0
"234","GO",2759,0,1,22,96,1,0.044,"Inf",0
"235","GO",2760,0,1,22,96,1,0.044,"Inf",0
"236","GO",2784,0,1,22,96,1,0.044,"Inf",0
"237","GO",2788,0,1,22,96,1,0.044,"Inf",0
"238","GO",2790,22,97,0,0,1,NA,"NaN",NA
"239","GO",2804,0,1,22,96,1,0.044,"Inf",0
"240","GO",2805,0,1,22,96,1,0.044,"Inf",0
"241","GO",2807,0,1,22,96,1,0.044,"Inf",0
"242","GO",2810,0,1,22,96,1,0.044,"Inf",0
"243","GO",2831,0,1,22,96,1,0.044,"Inf",0
"244","GO",2833,0,1,22,96,1,0.044,"Inf",0
"245","GO",2920,0,1,22,96,1,0.044,"Inf",0
"246","GO",2922,0,1,22,96,1,0.044,"Inf",0
"247","GO",2935,22,96,0,1,1,-0.044,"0.000",Inf
"248","GO",2937,22,95,0,2,1,-0.062,"0.000",Inf
"249","GO",2938,0,65,22,32,1.51e-09,0.522,"Inf",0
"250","GO",2939,22,96,0,1,1,-0.044,"0.000",Inf
"251","GO",2943,22,97,0,0,1,NA,"NaN",NA
"252","GO",2949,22,97,0,0,1,NA,"NaN",NA
"253","GO",2953,22,83,0,14,0.0698,-0.174,"0.000",Inf
"254","GO",3006,0,3,22,94,1,0.077,"Inf",0
"255","GO",3333,22,97,0,0,1,NA,"NaN",NA
"256","GO",3382,0,1,22,96,1,0.044,"Inf",0
"257","GO",3674,22,97,0,0,1,NA,"NaN",NA
"258","GO",3676,22,97,0,0,1,NA,"NaN",NA
"259","GO",3677,22,97,0,0,1,NA,"NaN",NA
"260","GO",3678,22,97,0,0,1,NA,"NaN",NA
"261","GO",3681,22,95,0,2,1,-0.062,"0.000",Inf
"262","GO",3684,22,97,0,0,1,NA,"NaN",NA
"263","GO",3688,22,97,0,0,1,NA,"NaN",NA
"264","GO",3690,22,97,0,0,1,NA,"NaN",NA
"265","GO",3697,22,97,0,0,1,NA,"NaN",NA
"266","GO",3700,22,97,0,0,1,NA,"NaN",NA
"267","GO",3723,22,97,0,0,1,NA,"NaN",NA
"268","GO",3724,22,97,0,0,1,NA,"NaN",NA
"269","GO",3725,22,97,0,0,1,NA,"NaN",NA
"270","GO",3727,22,97,0,0,1,NA,"NaN",NA
"271","GO",3729,22,97,0,0,1,NA,"NaN",NA
"272","GO",3730,22,97,0,0,1,NA,"NaN",NA
"273","GO",3735,22,97,0,0,1,NA,"NaN",NA
"274","GO",3743,22,97,0,0,1,NA,"NaN",NA
"275","GO",3746,22,97,0,0,1,NA,"NaN",NA
"276","GO",3747,22,97,0,0,1,NA,"NaN",NA
"277","GO",3755,22,97,0,0,1,NA,"NaN",NA
"278","GO",3756,22,97,0,0,1,NA,"NaN",NA
"279","GO",3796,4,31,18,66,0.3,0.117,"2.110",0.473
"280","GO",3824,22,97,0,0,1,NA,"NaN",NA
"281","GO",3841,22,97,0,0,1,NA,"NaN",NA
"282","GO",3844,22,77,0,20,0.0228,-0.214,"0.000",Inf
"283","GO",3848,22,96,0,1,1,-0.044,"0.000",Inf
"284","GO",3849,22,97,0,0,1,NA,"NaN",NA
"285","GO",3850,22,96,0,1,1,-0.044,"0.000",Inf
"286","GO",3852,22,97,0,0,1,NA,"NaN",NA
"287","GO",3855,22,96,0,1,1,-0.044,"0.000",Inf
"288","GO",3856,22,97,0,0,1,NA,"NaN",NA
"289","GO",3857,22,97,0,0,1,NA,"NaN",NA
"290","GO",3861,22,96,0,1,1,-0.044,"0.000",Inf
"291","GO",3862,22,94,0,3,1,-0.077,"0.000",Inf
"292","GO",3864,22,97,0,0,1,NA,"NaN",NA
"293","GO",3866,22,97,0,0,1,NA,"NaN",NA
"294","GO",3867,22,53,0,44,1.26e-05,-0.365,"0.000",Inf
"295","GO",3871,22,74,0,23,0.00682,-0.233,"0.000",Inf
"296","GO",3879,21,97,1,0,0.185,0.193,"Inf",0
"297","GO",3882,21,96,1,1,0.337,0.106,"4.570",0.219
"298","GO",3883,22,97,0,0,1,NA,"NaN",NA
"299","GO",3886,0,10,22,87,0.205,0.144,"Inf",0
"300","GO",3887,22,97,0,0,1,NA,"NaN",NA
"301","GO",3899,22,97,0,0,1,NA,"NaN",NA
"302","GO",3904,22,84,0,13,0.123,-0.167,"0.000",Inf
"303","GO",3906,22,97,0,0,1,NA,"NaN",NA
"304","GO",3909,22,97,0,0,1,NA,"NaN",NA
"305","GO",3910,21,92,1,5,1,-0.011,"0.876",1.14
"306","GO",3911,22,96,0,1,1,-0.044,"0.000",Inf
"307","GO",3913,22,84,0,13,0.123,-0.167,"0.000",Inf
"308","GO",3916,22,97,0,0,1,NA,"NaN",NA
"309","GO",3917,22,96,0,1,1,-0.044,"0.000",Inf
"310","GO",3918,22,97,0,0,1,NA,"NaN",NA
"311","GO",3919,22,97,0,0,1,NA,"NaN",NA
"312","GO",3920,0,7,22,90,0.346,0.119,"Inf",0
"313","GO",3921,22,97,0,0,1,NA,"NaN",NA
"314","GO",3922,22,97,0,0,1,NA,"NaN",NA
"315","GO",3924,22,97,0,0,1,NA,"NaN",NA
"316","GO",3933,22,97,0,0,1,NA,"NaN",NA
"317","GO",3934,22,97,0,0,1,NA,"NaN",NA
"318","GO",3935,22,96,0,1,1,-0.044,"0.000",Inf
"319","GO",3938,22,97,0,0,1,NA,"NaN",NA
"320","GO",3941,0,52,22,45,5.52e-07,0.42,"Inf",0
"321","GO",3942,22,95,0,2,1,-0.062,"0.000",Inf
"322","GO",3949,22,97,0,0,1,NA,"NaN",NA
"323","GO",3951,22,96,0,1,1,-0.044,"0.000",Inf
"324","GO",3952,13,35,9,62,0.0566,-0.182,"0.391",2.56
"325","GO",3954,22,97,0,0,1,NA,"NaN",NA
"326","GO",3955,0,2,22,95,1,0.062,"Inf",0
"327","GO",3962,22,97,0,0,1,NA,"NaN",NA
"328","GO",3963,0,1,22,96,1,0.044,"Inf",0
"329","GO",3964,0,1,22,96,1,0.044,"Inf",0
"330","GO",3977,22,97,0,0,1,NA,"NaN",NA
"331","GO",3978,0,21,22,76,0.0123,0.22,"Inf",0
"332","GO",3979,1,0,21,97,0.185,-0.193,"0.000",Inf
"333","GO",3984,22,96,0,1,1,-0.044,"0.000",Inf
"334","GO",3985,22,97,0,0,1,NA,"NaN",NA
"335","GO",3987,22,97,0,0,1,NA,"NaN",NA
"336","GO",3988,22,97,0,0,1,NA,"NaN",NA
"337","GO",3989,22,56,0,41,3.43e-05,-0.345,"0.000",Inf
"338","GO",3991,22,96,0,1,1,-0.044,"0.000",Inf
"339","GO",3992,22,97,0,0,1,NA,"NaN",NA
"340","GO",3994,22,97,0,0,1,NA,"NaN",NA
"341","GO",3995,22,97,0,0,1,NA,"NaN",NA
"342","GO",3996,0,1,22,96,1,0.044,"Inf",0
"343","GO",3998,22,63,0,34,0.000395,-0.301,"0.000",Inf
"344","GO",3999,22,97,0,0,1,NA,"NaN",NA
"345","GO",4000,22,73,0,24,0.0065,-0.239,"0.000",Inf
"346","GO",4003,22,97,0,0,1,NA,"NaN",NA
"347","GO",4004,22,97,0,0,1,NA,"NaN",NA
"348","GO",4008,1,0,21,97,0.185,-0.193,"0.000",Inf
"349","GO",4013,0,1,22,96,1,0.044,"Inf",0
"350","GO",4015,22,97,0,0,1,NA,"NaN",NA
"351","GO",4016,22,94,0,3,1,-0.077,"0.000",Inf
"352","GO",4017,21,96,1,1,0.337,0.106,"4.570",0.219
"353","GO",4019,22,94,0,3,1,-0.077,"0.000",Inf
"354","GO",4020,22,65,0,32,0.000847,-0.289,"0.000",Inf
"355","GO",4021,22,95,0,2,1,-0.062,"0.000",Inf
"356","GO",4022,22,97,0,0,1,NA,"NaN",NA
"357","GO",4029,0,63,22,34,4.16e-09,0.505,"Inf",0
"358","GO",4033,22,93,0,4,1,-0.089,"0.000",Inf
"359","GO",4034,22,89,0,8,0.349,-0.128,"0.000",Inf
"360","GO",4035,0,1,22,96,1,0.044,"Inf",0
"361","GO",4037,0,4,22,93,1,0.089,"Inf",0
"362","GO",4038,0,4,22,93,1,0.089,"Inf",0
"363","GO",4042,22,96,0,1,1,-0.044,"0.000",Inf
"364","GO",4044,22,97,0,0,1,NA,"NaN",NA
"365","GO",4045,22,97,0,0,1,NA,"NaN",NA
"366","GO",4047,22,97,0,0,1,NA,"NaN",NA
"367","GO",4048,22,94,0,3,1,-0.077,"0.000",Inf
"368","GO",4049,22,97,0,0,1,NA,"NaN",NA
"369","GO",4055,22,95,0,2,1,-0.062,"0.000",Inf
"370","GO",4056,22,94,0,3,1,-0.077,"0.000",Inf
"371","GO",4057,21,96,1,1,0.337,0.106,"4.570",0.219
"372","GO",4066,22,96,0,1,1,-0.044,"0.000",Inf
"373","GO",4067,22,95,0,2,1,-0.062,"0.000",Inf
"374","GO",4068,22,95,0,2,1,-0.062,"0.000",Inf
"375","GO",4069,22,97,0,0,1,NA,"NaN",NA
"376","GO",4070,22,97,0,0,1,NA,"NaN",NA
"377","GO",4071,22,96,0,1,1,-0.044,"0.000",Inf
"378","GO",4072,22,97,0,0,1,NA,"NaN",NA
"379","GO",4073,22,97,0,0,1,NA,"NaN",NA
"380","GO",4075,0,24,22,73,0.0065,0.239,"Inf",0
"381","GO",4076,22,97,0,0,1,NA,"NaN",NA
"382","GO",4077,22,97,0,0,1,NA,"NaN",NA
"383","GO",4084,0,41,22,56,3.43e-05,0.345,"Inf",0
"384","GO",4087,22,97,0,0,1,NA,"NaN",NA
"385","GO",4088,22,97,0,0,1,NA,"NaN",NA
"386","GO",4089,22,97,0,0,1,NA,"NaN",NA
"387","GO",4096,22,74,0,23,0.00682,-0.233,"0.000",Inf
"388","GO",4099,0,26,22,71,0.00343,0.252,"Inf",0
"389","GO",4106,22,97,0,0,1,NA,"NaN",NA
"390","GO",4107,22,97,0,0,1,NA,"NaN",NA
"391","GO",4108,22,97,0,0,1,NA,"NaN",NA
"392","GO",4109,22,97,0,0,1,NA,"NaN",NA
"393","GO",4112,22,97,0,0,1,NA,"NaN",NA
"394","GO",4114,21,97,1,0,0.185,0.193,"Inf",0
"395","GO",4115,21,97,1,0,0.185,0.193,"Inf",0
"396","GO",4121,22,97,0,0,1,NA,"NaN",NA
"397","GO",4122,0,1,22,96,1,0.044,"Inf",0
"398","GO",4123,22,97,0,0,1,NA,"NaN",NA
"399","GO",4124,22,97,0,0,1,NA,"NaN",NA
"400","GO",4125,14,34,8,63,0.017,-0.226,"0.308",3.24
"401","GO",4126,22,96,0,1,1,-0.044,"0.000",Inf
"402","GO",4127,22,97,0,0,1,NA,"NaN",NA
"403","GO",4129,0,2,22,95,1,0.062,"Inf",0
"404","GO",4130,0,1,22,96,1,0.044,"Inf",0
"405","GO",4131,0,18,22,79,0.0234,0.201,"Inf",0
"406","GO",4139,22,97,0,0,1,NA,"NaN",NA
"407","GO",4140,22,96,0,1,1,-0.044,"0.000",Inf
"408","GO",4141,22,97,0,0,1,NA,"NaN",NA
"409","GO",4143,0,1,22,96,1,0.044,"Inf",0
"410","GO",4145,0,3,22,94,1,0.077,"Inf",0
"411","GO",4146,22,96,0,1,1,-0.044,"0.000",Inf
"412","GO",4148,22,97,0,0,1,NA,"NaN",NA
"413","GO",4149,22,97,0,0,1,NA,"NaN",NA
"414","GO",4150,22,97,0,0,1,NA,"NaN",NA
"415","GO",4151,22,93,0,4,1,-0.089,"0.000",Inf
"416","GO",4152,22,97,0,0,1,NA,"NaN",NA
"417","GO",4155,22,72,0,25,0.00679,-0.246,"0.000",Inf
"418","GO",4156,22,96,0,1,1,-0.044,"0.000",Inf
"419","GO",4158,22,97,0,0,1,NA,"NaN",NA
"420","GO",4161,21,96,1,1,0.337,0.106,"4.570",0.219
"421","GO",4165,22,97,0,0,1,NA,"NaN",NA
"422","GO",4170,22,96,0,1,1,-0.044,"0.000",Inf
"423","GO",4175,22,97,0,0,1,NA,"NaN",NA
"424","GO",4176,22,97,0,0,1,NA,"NaN",NA
"425","GO",4177,22,97,0,0,1,NA,"NaN",NA
"426","GO",4180,22,97,0,0,1,NA,"NaN",NA
"427","GO",4185,22,97,0,0,1,NA,"NaN",NA
"428","GO",4197,0,1,22,96,1,0.044,"Inf",0
"429","GO",4222,22,97,0,0,1,NA,"NaN",NA
"430","GO",4252,22,97,0,0,1,NA,"NaN",NA
"431","GO",4298,21,96,1,1,0.337,0.106,"4.570",0.219
"432","GO",4300,22,97,0,0,1,NA,"NaN",NA
"433","GO",4308,0,1,22,96,1,0.044,"Inf",0
"434","GO",4309,22,97,0,0,1,NA,"NaN",NA
"435","GO",4311,22,97,0,0,1,NA,"NaN",NA
"436","GO",4312,22,97,0,0,1,NA,"NaN",NA
"437","GO",4314,22,97,0,0,1,NA,"NaN",NA
"438","GO",4315,22,97,0,0,1,NA,"NaN",NA
"439","GO",4316,22,97,0,0,1,NA,"NaN",NA
"440","GO",4318,22,96,0,1,1,-0.044,"0.000",Inf
"441","GO",4321,0,1,22,96,1,0.044,"Inf",0
"442","GO",4322,22,97,0,0,1,NA,"NaN",NA
"443","GO",4324,22,97,0,0,1,NA,"NaN",NA
"444","GO",4325,22,97,0,0,1,NA,"NaN",NA
"445","GO",4326,22,97,0,0,1,NA,"NaN",NA
"446","GO",4329,22,63,0,34,0.000395,-0.301,"0.000",Inf
"447","GO",4333,22,97,0,0,1,NA,"NaN",NA
"448","GO",4335,0,47,22,50,4.33e-06,0.385,"Inf",0
"449","GO",4337,21,96,1,1,0.337,0.106,"4.570",0.219
"450","GO",4342,6,3,16,94,0.00122,-0.355,"0.0851",11.8
