GO_term	term	CLIN2_Pr	NOCLIN_Pr	CLIN2_Abs	NOCLIN_Abs
GO	6073	22	97	0	0
GO	6081	22	97	0	0
GO	6082	22	97	0	0
GO	6083	22	97	0	0
GO	6084	22	97	0	0
GO	6085	22	97	0	0
GO	6086	22	97	0	0
GO	6089	22	97	0	0
GO	6090	22	97	0	0
GO	6091	22	97	0	0
GO	6094	22	97	0	0
GO	6096	22	97	0	0
GO	6097	22	97	0	0
GO	6098	22	97	0	0
GO	6099	22	97	0	0
GO	6101	22	97	0	0
GO	6103	22	97	0	0
GO	6105	22	97	0	0
GO	6106	0	47	22	50
GO	6107	0	1	22	96
GO	6108	22	97	0	0
GO	6109	22	97	0	0
GO	6112	22	97	0	0
GO	6113	22	97	0	0
GO	6115	22	95	0	2
GO	6116	0	1	22	96
GO	6119	22	97	0	0
GO	6120	22	97	0	0
GO	6123	0	2	22	95
GO	6124	22	95	0	2
GO	6139	22	97	0	0
GO	6140	0	6	22	91
GO	6144	22	97	0	0
GO	6145	0	10	22	87
GO	6146	0	1	22	96
GO	6148	0	34	22	63
GO	6149	0	34	22	63
GO	6150	0	7	22	90
GO	6152	22	97	0	0
GO	6154	22	73	0	24
GO	6161	0	34	22	63
GO	6163	22	97	0	0
GO	6164	22	97	0	0
GO	6165	22	97	0	0
GO	6166	22	97	0	0
GO	6167	22	94	0	3
GO	6168	22	96	0	1
GO	6171	22	94	0	3
GO	6172	21	96	1	1
GO	6177	22	97	0	0
GO	6183	22	97	0	0
GO	6188	22	97	0	0
GO	6189	22	97	0	0
GO	6195	22	97	0	0
GO	6203	22	97	0	0
GO	6206	22	97	0	0
GO	6207	22	97	0	0
GO	6208	22	96	0	1
GO	6209	0	18	22	79
GO	6212	22	94	0	3
GO	6213	22	97	0	0
GO	6216	22	96	0	1
GO	6217	22	96	0	1
GO	6218	22	97	0	0
GO	6220	22	97	0	0
GO	6221	22	97	0	0
GO	6222	22	97	0	0
GO	6226	22	96	0	1
GO	6227	22	96	0	1
GO	6231	22	36	0	61
GO	6233	22	96	0	1
GO	6235	22	96	0	1
GO	6241	22	97	0	0
GO	6244	22	97	0	0
GO	6253	22	66	0	31
GO	6259	22	97	0	0
GO	6260	22	97	0	0
GO	6261	22	97	0	0
GO	6265	22	97	0	0
GO	6266	22	97	0	0
GO	6268	22	97	0	0
GO	6269	22	96	0	1
GO	6270	22	97	0	0
GO	6271	22	97	0	0
GO	6273	22	97	0	0
GO	6274	2	3	20	94
GO	6275	22	97	0	0
GO	6276	22	97	0	0
GO	6278	0	1	22	96
GO	6281	22	97	0	0
GO	6282	22	97	0	0
GO	6283	22	97	0	0
GO	6284	22	97	0	0
GO	6285	22	97	0	0
GO	6288	22	96	0	1
GO	6289	22	97	0	0
GO	6298	22	97	0	0
GO	6301	22	97	0	0
GO	6302	22	97	0	0
GO	6304	22	97	0	0
GO	6305	22	97	0	0
GO	6306	22	97	0	0
GO	6308	22	97	0	0
GO	6310	22	97	0	0
GO	6313	5	15	17	82
GO	6323	21	97	1	0
GO	6351	22	97	0	0
GO	6352	22	97	0	0
GO	6353	22	97	0	0
GO	6354	22	97	0	0
GO	6355	22	97	0	0
GO	6357	0	1	22	96
GO	6364	22	97	0	0
GO	6378	22	97	0	0
GO	6379	0	6	22	91
GO	6382	21	97	1	0
GO	6396	22	97	0	0
GO	6397	22	97	0	0
GO	6399	22	97	0	0
GO	6400	22	97	0	0
GO	6401	22	97	0	0
GO	6402	22	97	0	0
GO	6412	22	97	0	0
GO	6413	22	97	0	0
GO	6414	22	97	0	0
GO	6415	22	97	0	0
GO	6417	22	97	0	0
GO	6418	22	97	0	0
GO	6419	22	97	0	0
GO	6420	22	97	0	0
GO	6421	22	97	0	0
GO	6422	22	97	0	0
GO	6423	22	97	0	0
GO	6424	22	96	0	1
GO	6425	22	97	0	0
GO	6426	22	96	0	1
GO	6427	21	97	1	0
GO	6428	22	97	0	0
GO	6429	22	97	0	0
GO	6430	0	1	22	96
GO	6431	22	97	0	0
GO	6432	22	95	0	2
GO	6433	22	96	0	1
GO	6434	22	97	0	0
GO	6435	22	97	0	0
GO	6436	22	96	0	1
GO	6437	22	97	0	0
GO	6438	22	97	0	0
GO	6446	22	97	0	0
GO	6448	22	97	0	0
GO	6450	22	97	0	0
GO	6451	13	29	9	68
GO	6457	22	97	0	0
GO	6458	22	97	0	0
GO	6464	22	97	0	0
GO	6465	22	97	0	0
GO	6468	22	97	0	0
GO	6470	22	97	0	0
GO	6473	22	97	0	0
GO	6474	21	97	1	0
GO	6475	22	95	0	2
GO	6476	22	97	0	0
GO	6479	22	97	0	0
GO	6480	22	97	0	0
GO	6482	19	19	3	78
GO	6486	22	97	0	0
GO	6487	22	97	0	0
GO	6497	1	0	21	97
GO	6508	22	97	0	0
GO	6511	21	96	1	1
GO	6515	22	97	0	0
GO	6517	2	4	20	93
GO	6518	22	97	0	0
GO	6520	22	97	0	0
GO	6521	22	97	0	0
GO	6522	22	97	0	0
GO	6523	22	95	0	2
GO	6524	22	97	0	0
GO	6525	22	97	0	0
GO	6526	22	97	0	0
GO	6527	22	97	0	0
GO	6528	22	97	0	0
GO	6529	22	96	0	1
GO	6530	22	95	0	2
GO	6531	22	97	0	0
GO	6532	0	41	22	56
