GO_term term CLIN1_Pr NOCLIN_Pr CLIN1_Abs NOCLIN_Abs
GO 4146 23 96 0 1
GO 4148 23 97 0 0
GO 4149 23 97 0 0
GO 4150 23 97 0 0
GO 4151 1 93 22 4
GO 4152 23 97 0 0
GO 4155 23 72 0 25
GO 4156 23 96 0 1
GO 4158 23 97 0 0
GO 4161 23 96 0 1
GO 4165 23 97 0 0
GO 4170 23 96 0 1
GO 4175 23 97 0 0
GO 4176 23 97 0 0
GO 4177 23 97 0 0
GO 4180 23 97 0 0
GO 4185 23 97 0 0
GO 4197 0 1 23 96
GO 4222 23 97 0 0
GO 4252 23 97 0 0
GO 4298 23 96 0 1
GO 4300 23 97 0 0
GO 4308 0 1 23 96
GO 4309 23 97 0 0
GO 4311 23 97 0 0
GO 4312 23 97 0 0
GO 4314 23 97 0 0
GO 4315 23 97 0 0
GO 4316 23 97 0 0
GO 4318 22 96 1 1
GO 4321 0 1 23 96
GO 4322 23 97 0 0
GO 4324 23 97 0 0
GO 4325 23 97 0 0
GO 4326 23 97 0 0
GO 4329 23 63 0 34
GO 4333 23 97 0 0
GO 4335 1 47 22 50
GO 4337 23 96 0 1
GO 4342 21 3 2 94
GO 4345 23 97 0 0
GO 4346 23 96 0 1
GO 4349 23 97 0 0
GO 4350 23 97 0 0
GO 4351 0 9 23 88
GO 4353 0 8 23 89
GO 4354 0 8 23 89
GO 4355 23 96 0 1
GO 4356 23 97 0 0
GO 4357 23 97 0 0
GO 4358 23 95 0 2
GO 4359 23 94 0 3
GO 4360 21 97 2 0
GO 4362 23 96 0 1
GO 4363 23 96 0 1
GO 4364 0 5 23 92
GO 4365 23 96 0 1
GO 4366 23 97 0 0
GO 4367 23 97 0 0
GO 4368 0 4 23 93
GO 4370 23 96 0 1
GO 4372 23 96 0 1
GO 4373 20 75 3 22
GO 4375 23 97 0 0
GO 4385 23 97 0 0
GO 4386 23 97 0 0
GO 4396 23 96 0 1
GO 4397 22 93 1 4
GO 4399 23 97 0 0
GO 4400 23 96 0 1
GO 4401 21 96 2 1
GO 4411 23 92 0 5
GO 4412 23 97 0 0
GO 4413 23 96 0 1
GO 4416 23 97 0 0
GO 4417 0 2 23 95
GO 4418 23 97 0 0
GO 4422 23 96 0 1
GO 4424 21 96 2 1
GO 4425 23 96 0 1
GO 4427 22 5 1 92
GO 4451 23 71 0 26
GO 4455 20 96 3 1
GO 4456 23 97 0 0
GO 4457 23 94 0 3
GO 4458 0 3 23 94
GO 4462 23 96 0 1
GO 4470 23 97 0 0
GO 4471 23 97 0 0
GO 4473 23 97 0 0
GO 4474 23 96 0 1
GO 4475 0 5 23 92
GO 4477 23 97 0 0
GO 4478 23 97 0 0
GO 4479 23 96 0 1
GO 4486 23 97 0 0
GO 4488 23 97 0 0
GO 4489 23 86 0 11
GO 4494 0 2 23 95
GO 4497 23 95 0 2
GO 4505 23 95 0 2
GO 4514 23 96 0 1
GO 4515 23 97 0 0
GO 4516 0 2 23 95
GO 4518 23 97 0 0
GO 4519 23 97 0 0
GO 4520 23 97 0 0
GO 4521 23 97 0 0
GO 4523 23 97 0 0
GO 4525 23 97 0 0
GO 4526 23 96 0 1
GO 4527 23 97 0 0
GO 4529 23 97 0 0
GO 4532 23 97 0 0
GO 4534 23 97 0 0
