"","G","Gene","MC","WTC","MD","WTD","Fisher.p","phi","OR1","OR2"
"4635","GO",72530,0,0,23,22,1,NA,"NaN",NA
"4636","GO",72531,23,22,0,0,1,NA,"NaN",NA
"4637","GO",72580,0,0,23,22,1,NA,"NaN",NA
"4638","GO",72581,0,0,23,22,1,NA,"NaN",NA
"4639","GO",72586,23,22,0,0,1,NA,"NaN",NA
"4640","GO",72593,23,22,0,0,1,NA,"NaN",NA
"4641","GO",72594,23,22,0,0,1,NA,"NaN",NA
"4642","GO",72595,0,0,23,22,1,NA,"NaN",NA
"4643","GO",72599,23,22,0,0,1,NA,"NaN",NA
"4644","GO",72657,23,22,0,0,1,NA,"NaN",NA
"4645","GO",72714,0,0,23,22,1,NA,"NaN",NA
"4646","GO",72747,22,0,1,22,5.83e-12,-0.957,"0.000",Inf
"4647","GO",72756,22,0,1,22,5.83e-12,-0.957,"0.000",Inf
"4648","GO",75713,5,10,18,12,0.12,0.251,"3.000",0.333
"4649","GO",80033,23,22,0,0,1,NA,"NaN",NA
"4650","GO",80090,23,22,0,0,1,NA,"NaN",NA
"4651","GO",80134,23,22,0,0,1,NA,"NaN",NA
"4652","GO",80135,23,22,0,0,1,NA,"NaN",NA
"4653","GO",80146,23,22,0,0,1,NA,"NaN",NA
"4654","GO",85027,1,2,22,20,0.608,0.095,"2.200",0.455
"4655","GO",89705,23,22,0,0,1,NA,"NaN",NA
"4656","GO",89715,23,21,0,1,0.489,-0.154,"0.000",Inf
"4657","GO",89718,0,0,23,22,1,NA,"NaN",NA
"4658","GO",90066,23,22,0,0,1,NA,"NaN",NA
"4659","GO",90069,23,22,0,0,1,NA,"NaN",NA
"4660","GO",90070,23,22,0,0,1,NA,"NaN",NA
"4661","GO",90071,23,22,0,0,1,NA,"NaN",NA
"4662","GO",90079,23,22,0,0,1,NA,"NaN",NA
"4663","GO",90087,23,22,0,0,1,NA,"NaN",NA
"4664","GO",90093,0,0,23,22,1,NA,"NaN",NA
"4665","GO",90116,0,0,23,22,1,NA,"NaN",NA
"4666","GO",90143,23,22,0,0,1,NA,"NaN",NA
"4667","GO",90150,23,22,0,0,1,NA,"NaN",NA
"4668","GO",90160,0,0,23,22,1,NA,"NaN",NA
"4669","GO",90174,0,0,23,22,1,NA,"NaN",NA
"4670","GO",90304,23,22,0,0,1,NA,"NaN",NA
"4671","GO",90305,23,22,0,0,1,NA,"NaN",NA
"4672","GO",90313,23,22,0,0,1,NA,"NaN",NA
"4673","GO",90329,23,22,0,0,1,NA,"NaN",NA
"4674","GO",90352,1,3,22,19,0.346,0.163,"3.470",0.288
"4675","GO",90357,23,22,0,0,1,NA,"NaN",NA
"4676","GO",90407,23,22,0,0,1,NA,"NaN",NA
"4677","GO",90482,21,0,2,22,7.29e-11,-0.915,"0.000",Inf
"4678","GO",90483,22,8,1,14,2.32e-05,-0.629,"0.026",38.5
"4679","GO",90499,23,22,0,0,1,NA,"NaN",NA
"4680","GO",90501,23,22,0,0,1,NA,"NaN",NA
"4681","GO",90502,23,22,0,0,1,NA,"NaN",NA
"4682","GO",90503,23,22,0,0,1,NA,"NaN",NA
"4683","GO",90529,23,22,0,0,1,NA,"NaN",NA
"4684","GO",90533,16,0,7,22,4.95e-07,-0.726,"0.000",Inf
"4685","GO",90540,0,0,23,22,1,NA,"NaN",NA
"4686","GO",90563,23,22,0,0,1,NA,"NaN",NA
"4687","GO",90589,0,0,23,22,1,NA,"NaN",NA
"4688","GO",90599,0,0,23,22,1,NA,"NaN",NA
"4689","GO",90605,23,22,0,0,1,NA,"NaN",NA
"4690","GO",90609,23,22,0,0,1,NA,"NaN",NA
"4691","GO",90662,23,22,0,0,1,NA,"NaN",NA
"4692","GO",97035,23,22,0,0,1,NA,"NaN",NA
"4693","GO",97056,23,14,0,8,0.00148,-0.475,"0.000",Inf
